,res_id,name,establishment,url,address,city,city_id,locality,latitude,longitude,country_id,locality_verbose,cuisines,timings,average_cost_for_two,highlights,aggregate_rating,rating_text,votes,photo_count,opentable_support,delivery,takeaway,type
451,3501407,Navratna Restaurant,Quick Bites,https://www.zomato.com/dehradun/navratna-restaurant-balliwala?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Balliwala Chowk, Shivalik Puram, Dehradun, Dehradun",Dehradun,35,Balliwala,30.32479956,78.01262923,1,"Balliwala, Dehradun",North Indian,"12noon – 5pm, 7pm – 11:30pm (Mon-Sun)",400,"Dinner, Cash, Takeaway Available, Lunch, Delivery, No Alcohol Available, Indoor Seating, Free Parking, Digital Payments Accepted",2.8,Average,9,5,0.0,-1,-1,Quick Bites
452,3501592,Dosa Paradise,Quick Bites,https://www.zomato.com/dehradun/dosa-paradise-morowala?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"City Food Junction Mall, Near ISBT, Morowala, Dehradun",Dehradun,35,Morowala,30.28892414,77.99976703,1,"Morowala, Dehradun",South Indian,10 AM to 11 PM,250,"Lunch, Takeaway Available, No Alcohol Available, Dinner, Cash, Outdoor Seating",2.8,Average,5,2,0.0,-1,-1,Quick Bites
453,3500241,Vishal Vishnu Dhaba,Dhaba,https://www.zomato.com/dehradun/vishal-vishnu-dhaba-paltan-bazaar?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Near Prince Chowk, Paltan Bazaar, Dehradun",Dehradun,35,Paltan Bazaar,30.31590556,78.03652222,1,"Paltan Bazaar, Dehradun",North Indian,6 AM to 10 PM (Mon-Sun),150,"Lunch, Dinner, Indoor Seating, Pure Veg",2.8,Average,4,4,0.0,-1,-1,Dhaba
454,3501698,Central Park Cafe,Café,https://www.zomato.com/dehradun/central-park-cafe-race-course?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"49, Suri Chownk Race Course, Dehradun",Dehradun,35,Race Course,30.30938721,78.04432678,1,"Race Course, Dehradun","Fast Food, Chinese, Continental",11 AM to 11 PM,300,"Lunch, Cash, Takeaway Available, No Alcohol Available, Dinner, Delivery, Debit Card, Indoor Seating",2.9,Average,79,109,0.0,1,-1,Café
455,19015286,Pushpanjali Restaurant,Quick Bites,https://www.zomato.com/dehradun/pushpanjali-restaurant-majra?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Plot 94, Opposite Niranjanpur Sabzi Mandi Main Gate, Majra, Dehradun",Dehradun,35,Majra,30.30372592,78.01171771,1,"Majra, Dehradun","Chinese, North Indian",7:30 AM to 10:30 PM,200,"Lunch, Takeaway Available, Dinner, Cash, Debit Card, Digital Payments Accepted",2.9,Average,29,1,0.0,1,-1,Quick Bites
456,3500453,Vaango!,Food Court,https://www.zomato.com/dehradun/vaango-jakhan?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"S-12, 3rd Floor, Pacific Mall, Jakhan, Dehradun",Dehradun,35,"Pacific Mall, Jakhan",30.36656274,78.07029940000001,1,"Pacific Mall, Jakhan, Dehradun",South Indian,11 AM to 10:30 PM,350,"Dinner, Mall Parking, Lunch, Takeaway Available, Credit Card, Indoor Seating, Pure Veg",2.9,Average,35,35,0.0,1,-1,Food Court
457,18695187,Chicken Point,Restaurant/Shop,https://www.zomato.com/dehradun/chicken-point-hathibarkala-salwala?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Opposite Vishal Mega Mart, Dilaram Bazaar, Rajpur Road, Dehradun",Dehradun,35,Hathibarkala Salwala,30.33729285,78.05650849,1,"Hathibarkala Salwala, Dehradun",North Indian,"6:15pm – 10:55pm (Mon, Wed, Thu, Fri, Sat, Sun), Closed (Tue)",500,"Takeaway Available, Cash, Delivery",2.9,Average,56,4,0.0,1,-1,Restaurant/Shop
458,3501328,Yambis Coffee Bar,Quick Bites,https://www.zomato.com/dehradun/yambis-coffee-bar-malsi?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Near DIT, Mussoorie Diversion Road, Malsi, Dehradun",Dehradun,35,Malsi,30.39649422,78.07681315,1,"Malsi, Dehradun",Fast Food,9:30 AM to 10:30 PM,800,"Credit Card, Lunch, No Alcohol Available, Takeaway Available, Cash, Debit Card, Breakfast, Dinner, Delivery, Outdoor Seating, Digital Payments Accepted, Indoor Seating",2.9,Average,26,33,0.0,1,-1,Quick Bites
459,18977931,Friends Chicken Corner,Quick Bites,https://www.zomato.com/dehradun/friends-chicken-corner-prem-nagar?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Upes Road, Nanda Ki Chowki, Near Law College, Prem Nagar, Dehradun",Dehradun,35,Prem Nagar,30.34364,77.95104,1,"Prem Nagar, Dehradun",North Indian,11:30 AM to 10:30 PM,300,"Dinner, Cash, Takeaway Available, Debit Card, Lunch, Delivery, Credit Card, Indoor Seating, Digital Payments Accepted",2.9,Average,8,11,0.0,1,-1,Quick Bites
460,18908850,Biryani Pind Di,Quick Bites,https://www.zomato.com/dehradun/biryani-pind-di-chukkuwala?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,Hotel Central Park inn 51 Rajpur Road Opp CNI Girls College Dehradun  - 248001,Dehradun,35,Chukkuwala,30.32747622,78.04478145,1,"Chukkuwala, Dehradun","North Indian, Biryani",12noon – 12midnight (Mon-Sun),200,"Dinner, Takeaway Available, Lunch, Cash, Indoor Seating",2.9,Average,23,2,0.0,1,-1,Quick Bites
